Ticker,Name,Exchange
LONG-LIVS-S-H.ST,LONG-LIVS-S-H.ST,STO
XACT-BULL.ST,XACT Bull,STO
BEAR-OLJA-X2-S.ST,BEAR-OLJA-X2-S.ST,STO
BEAR-LIVS-X3-H.ST,BEAR-LIVS-X3-H.ST,STO
LONG-ENERGI-H.ST,LONG-ENERGI-H.ST,STO
BULL-SEB-X2-H.ST,BULL-SEB-X2-H.ST,STO
BULL-EL-X2-H.ST,BULL-EL-X2-H.ST,STO
SHRT-ADEL-S-H.ST,SHRT-ADEL-S-H.ST,STO
BULL-EL-X4-S.ST,SEB AG,STO
SHRT-ENERGI-H.ST,SHRT-ENERGI-H.ST,STO
BULL-GULD-X2-S.ST,BULL-GULD-X2-S.ST,STO
XS7R.ST,db x-trackers - Stoxx Europe 600 Banks UCITS ETF,STO
XACT-BULL-2.ST,XACT Bull 2,STO
BEAR-GULD-X2-S.ST,BEAR-GULD-X2-S.ST,STO
LONG-EUR-D-S.ST,LONG-EUR-D-S.ST,STO
LONG-SILVER-H.ST,LONG-SILVER-H.ST,STO
BEAR-SEB-X2-H.ST,BEAR-SEB-X2-H.ST,STO
LONG-USD-D-S.ST,LONG-USD-D-S.ST,STO
SHORT-USD-B-S.ST,SHORT-USD-B-S.ST,STO
LONG-EUR-F-S.ST,LONG-EUR-F-S.ST,STO
KINA-BULL-A-S.ST,KINA-BULL-A-S.ST,STO
MAJS-S.ST,MAJS-S.ST,STO
XMLA.ST,db x-trackers - MSCI EM LatAm Index UCITS ETF,STO
XMUS.ST,db x-trackers - MSCI USA Index UCITS ETF,STO
XD3E.ST,db x-trackers - Euro Stoxx Select Dividend 30 UCITS ETF (DR),STO
XMWO.ST,db x-trackers - MSCI World Index UCITS ETF,STO
XX25.ST,db x-trackers - FTSE China 50 UCITS ETF (DR),STO
LONG-KOPPAR-H.ST,LONG-KOPPAR-H.ST,STO
SHORT-JPY-F-S.ST,SHORT-JPY-F-S.ST,STO
SHORT-JPY-B-S.ST,SHORT-JPY-B-S.ST,STO
XDWD.ST,Concept Fund Solutions plc - db x-trackers MSCI World Index UCITS ETF (DR),STO
XAXJ.ST,db x-trackers - MSCI AC Asia ex Japan Index UCITS ETF,STO
XPXJ.ST,db x-trackers - MSCI Pacific ex Japan Index UCITS ETF (DR),STO
XMJP.ST,db x-trackers - MSCI Japan Index UCITS ETF (DR),STO
XRS2.ST,Concept Fund Solutions plc - db x-trackers Russell 2000 UCITS ETF (DR),STO
KAKAO-S.ST,KAKAO-S.ST,STO
KAFFE-S.ST,KAFFE-S.ST,STO
SHORT-CHF-F-S.ST,SHORT-CHF-F-S.ST,STO
EL-S.ST,EL-S.ST,STO
BULL-ADEL-X3-H.ST,BULL-ADEL-X3-H.ST,STO
STRIKT-SE-MOM.ST,STRIKT-SE-MOM.ST,STO
LONG-ADEL-H.ST,LONG-ADEL-H.ST,STO
XACT-NORDEN-30.ST,XACT NORDEN 30,STO
SHORT-CHF-B-S.ST,SHORT-CHF-B-S.ST,STO
BULL-LIVS-X3-H.ST,BULL-LIVS-X3-H.ST,STO
LONG-ADEL-S-H.ST,LONG-ADEL-S-H.ST,STO
XNIF.ST,db x-trackers - NIFTY 50 UCITS ETF,STO
BEAR-ADEL-X3-H.ST,BEAR-ADEL-X3-H.ST,STO
LONG-BASMET-H.ST,LONG-BASMET-H.ST,STO
LONG-LIVS-H.ST,LONG-LIVS-H.ST,STO
SHRT-LIVS-S-H.ST,SHRT-LIVS-S-H.ST,STO
BULL-EL-X2-S.ST,BULL-EL-X2-S.ST,STO
SHRT-LIVS-H.ST,SHRT-LIVS-H.ST,STO
XACT-BANK.ST,XACT-BANK.ST,STO
BULL-VETE-X4-S.ST,BULL-VETE-X4-S.ST,STO
BULL-OLJA-X2-S.ST,BULL-OLJA-X2-S.ST,STO
LONG-CHF-F-S.ST,LONG-CHF-F-S.ST,STO
SHRT-ADEL-H.ST,SHRT-ADEL-H.ST,STO
BEAR-EL-X2-S.ST,BEAR-EL-X2-S.ST,STO
SHRT-BASMET-H.ST,SHRT-BASMET-H.ST,STO
BEAR-VETE-X4-S.ST,BEAR-VETE-X4-S.ST,STO
BEAR-EL-X4-S.ST,BEAR-EL-X4-S.ST,STO
SHORT-OLJA-A-S.ST,SHORT-OLJA-A-S.ST,STO
SPOTR-OMXS30.ST,SpotR 1 - SpotR OMXS30 UCITS ETF,STO
XACT-OMXSB-UTD.ST,XACT OMXSB UTD,STO
OLJA-S.ST,OLJA-S.ST,STO
BULL-OMX-X3-H.ST,BULL-OMX-X3-H.ST,STO
XACT-RAVAROR.ST,XACT R̴varor (UCITS ETF),STO
XMRC.ST,db x-trackers - MSCI Russia Capped Index UCITS ETF,STO
SHORT-EUR-F-S.ST,SHORT-EUR-F-S.ST,STO
LONG-VETE-H.ST,LONG-VETE-H.ST,STO
XMEU.ST,db x-trackers - MSCI Europe Index UCITS ETF (DR),STO
XACT-BEAR.ST,XACT Bear,STO
XSSX.ST,db x-trackers - EURO STOXX 50 SHORT DAILY UCITS ETF,STO
BEAR-EL-X2-H.ST,BEAR-EL-X2-H.ST,STO
XACT-BEAR-2.ST,XACT Bear 2,STO
BITCOIN-XBT.ST,BITCOIN-XBT.ST,STO
XMBR.ST,db x-trackers - MSCI Brazil Index UCITS ETF (DR),STO
SHORT-MAJS-A-S.ST,SHORT-MAJS-A-S.ST,STO
SOCKER-S.ST,SOCKER-S.ST,STO
LONG-GULD-H.ST,LONG-GULD-H.ST,STO
USDSEK-S.ST,USDSEK-S.ST,STO
LONG-OLJA-H.ST,LONG-OLJA-H.ST,STO
SHORT-USD-D-S.ST,SHORT-USD-D-S.ST,STO
SOJABO-S.ST,SOJABO-S.ST,STO
SHORT-EUR-D-S.ST,SHORT-EUR-D-S.ST,STO
SHORT-EUR-B-S.ST,SHORT-EUR-B-S.ST,STO
LONG-USD-F-S.ST,LONG-USD-F-S.ST,STO
XDAX.ST,db x-trackers - DAX UCITS ETF (DR),STO
XXSC.ST,db x-trackers - MSCI Europe Small Cap Index UCITS ETF (DR),STO
XMEM.ST,db x-trackers - MSCI Emerging Markets Index UCITS ETF,STO
XGSD.ST,db x-trackers - Stoxx Global Select Dividend 100 UCITS ETF,STO
XESC.ST,db x-trackers - Euro Stoxx 50 UCITS ETF (DR),STO
XACT-SMABOLAG.ST,XACT-SMABOLAG.ST,STO
